dep,party
Абдыкеримов Ш., «Кыргызстан»
Абдылдаев М., «Бир Бол»
Абжалиев А., «Республика - Ата Журт»
Айдаров Н., «Онугуу-Прогресс»
Айдаров С., «Кыргызстан»
Айнакулов М., СДПК
Акаев Ж., СДПК
Акматов А., «Бир Бол»
Алимбеков Н., «Кыргызстан»
Алтыбаева А., СДПК
Алтынбеков А., «Республика - Ата Журт»
Алыбаев О., «Кыргызстан»
Аманкулов М., СДПК
Арапбаев А., СДПК
Артыков А., СДПК
Аскарова А., «Кыргызстан»
Асылбаева Г., «Онугуу-Прогресс»
Аттокуров Д., СДПК
Баатырбеков А., «Кыргызстан»
Байбакпаев Э., «Республика - Ата Журт»
Баймуратов К., «Республика - Ата Журт»
Бакиров М., «Онугуу-Прогресс»
Бакиров О., СДПК
Бакчиев Ж., «Бир Бол»
Бекешев Д., СДПК
Бешимбаева А., «Республика - Ата Журт»
Бокоев К., «Республика - Ата Журт»
Гайпкулов И., «Ата Мекен»
Джумабеков Д., «Кыргызстан»
Джураев С., СДПК
Дюшалиев А., «Республика - Ата Журт»
Жамалдинов З., «Онугуу-Прогресс»
Жапаров А., «Бир Бол»
Жеенчороев М., «Республика - Ата Журт»
Жетигенов Б., СДПК
Жолдошбаев К., «Онугуу-Прогресс»
Жоробеков Т., «Республика - Ата Журт»
Жумалиев К., «Бир Бол»
Жунус уулу Адыл, «Республика - Ата Журт»
Жунус уулу Алтынбек., «Онугуу-Прогресс»
Жутанов А., «Онугуу-Прогресс»
Жээнбеков А., СДПК
Зулпукаров Т., СДПК
Зулушев К., «Республика - Ата Журт»
Ибраев С., СДПК
Икрамов Т., «Онугуу-Прогресс»
Иманалиев К., «Ата Мекен»
Исмаилова А., «Республика - Ата Журт»
Исаева Д., «Республика - Ата Журт»
Исаев К., «Кыргызстан»
Казакбаев Р., «Республика - Ата Журт»
Карамушкина И., СДПК
Карашев А., СДПК
Каримов Н., СДПК
Касымалиева А., СДПК
Келдибаев С., «Республика - Ата Журт»
Керезбеков К., СДПК
Кодуранова А., СДПК
Конушбаев Т., «Кыргызстан»
Кулбараков А., СДПК
Кыдыралиев У., «Республика - Ата Журт»
Мавлянова М., «Республика - Ата Журт»
Мадеминов М., СДПК
Маматалиев М., «Республика - Ата Журт»
Маматов А., «Ата Мекен»
Мамашова А., «Ата Мекен»
Мамытов Т., «Республика - Ата Журт»
Маннанов И., СДПК
Масабиров Т., «Кыргызстан»
Матраимов И., СДПК
Молдобекова Г., СДПК
Момбеков Р., СДПК
Мусабекова Ж., СДПК
Никитенко Н., «Ата Мекен»
Нурбаев А., СДПК
Нурматов К., «Кыргызстан»
Нышанов С., «Ата Мекен»
Омуркулов И., СДПК
Ормонов У., «Бир Бол»
Орозова К., СДПК
Осмонова А., СДПК
Пирматов И., «Бир Бол»
Примов У., СДПК
Райымкулов Б., «Республика - Ата Журт»
Рысалиев З., «Республика - Ата Журт»
Рыспаев К., СДПК
Сабиров М., «Республика - Ата Журт»
Самаев У., «Кыргызстан»
Самат Гульнара-Клара., «Ата Мекен»
Самигуллина А., СДПК
Строкова Е., СДПК
Субанбеков Б., «Бир Бол»
Сулайманов А., «Бир Бол»
Сулейманов Б., «Ата Мекен»
Султанов А., «Онугуу-Прогресс»
Сурабалдиева Э., СДПК
Сыдыгалиев Б., «Кыргызстан»
Сыдыгалиев Н., «Ата Мекен»
Сыдыков Б., «Республика - Ата Журт»
Тагаев Э., «Бир Бол»
Тиллаев Т., «Республика - Ата Журт»
Токторов А., «Кыргызстан»
Токтошев Э., «Ата Мекен»
Толонов Д., «Кыргызстан»
Торобаев Б., «Онугуу-Прогресс»
Торокулов Д., «Бир Бол»
Тотонов Н., «Республика - Ата Журт»
Тулендыбаев П., «Республика - Ата Журт»
Туманбаева Р., «Республика - Ата Журт»
Турсунбаев А., «Кыргызстан»
Турсунбеков Ч., СДПК
Турусбеков Б., «Бир Бол»
Турускулов Ж., «Республика - Ата Журт»
Узакбаев А., «Онугуу-Прогресс»
Шайназаров Т., «Онугуу-Прогресс»
Шарапов З., «Республика - Ата Журт»
Шер-Нияз С., «Ата Мекен»
Эгембердиев М., СДПК
Эргешов А., «Кыргызстан»
Юсуров А., «Онугуу-Прогресс»
Омурбекова А., «Республика - Ата Журт»
Бабанов О., «Республика - Ата Журт»
Жамангулов А., «Республика - Ата Журт»
Масалиев И., «Онугуу-Прогресс»
Назаров А., «Кыргызстан»
Текебаев О., «Ата Мекен»
Макеев Н., «Кыргызстан»
Артыкбаев О., СДПК
Салянова А., «Ата Мекен»
Джакупова Ч., «Бир Бол»
Исакунова Т., «Кыргызстан»
Жылкыбаев У., СДПК
Нишанов Н., «Республика - Ата Журт»
Иминов Ф., «Республика - Ата Журт»
Исаков М., СДПК
Шадиев А., «Бир Бол»
Чолпонбаев У., «Республика - Ата Журт»
Султанбекова Ч., «Кыргызстан»
Чудинов И., «Бир Бол»
Чойбеков Р., «Кыргызстан»
Исаев Ж., «Кыргызстан»
Ибраимжанов Б., «Республика - Ата Журт»
Сарсейитов И., «Кыргызстан»
Асылбек у., «Кыргызстан»
Сатыбалдиев К., СДПК
Калмаматов Ж., «Кыргызстан»
Исаев Т., СДПК
Шыкмаматов А., «Ата Мекен»
Туманов Т., СДПК
Кадыркулов И., СДПК
Баяхунов Н., СДПК
Скрипкина Г., СДПК